title,year,budget_raw,box_office_raw,release_date,section,image
Mr. Mom,1983,$5 million [ 2 ],"$64,783,827",,Highest-grossing,images\1983_Mr._Mom.jpg
Risky Business,1983,$6.2 million,"$63,541,777",,Highest-grossing,images\1983_Risky_Business.jpg
Beverly Hills Cop,1984,$13 million [ 2 ],"$234,760,478",,Highest-grossing,images\1984_Beverly_Hills_Cop.jpg
Ghostbusters,1984,$25–30 million,"$229,242,989",,Highest-grossing,images\1984_Ghostbusters.jpg
Indiana Jones and the Temple of Doom,1984,$28 million [ 3 ],"$179,870,271",,Highest-grossing,images\1984_Indiana_Jones_and_the_Temple_of_Doom.jpg
Gremlins,1984,$11 million,"$153,083,102",,Highest-grossing,images\1984_Gremlins.jpg
The Karate Kid,1984,$8 million [ 2 ],"$90,815,558[4][5][6]",,Highest-grossing,images\1984_The_Karate_Kid.jpg
Police Academy,1984,$4.8 million [ 2 ],"$81,198,894",,Highest-grossing,images\1984_Police_Academy.jpg
Footloose,1984,$7.5 million [ 2 ],"$80,035,402",,Highest-grossing,images\1984_Footloose.jpg
Romancing the Stone,1984,$10 million [ 2 ] [ 3 ],"$76,572,238",,Highest-grossing,images\1984_Romancing_the_Stone.jpg
Star Trek III: The Search for Spock,1984,$16 million [ 2 ],"$76,471,076",,Highest-grossing,images\1984_Star_Trek_III:_The_Search_for_Spock.jpg
Splash,1984,$11 million [ 1 ],"$69,821,334",,Highest-grossing,images\1984_Splash.jpg
Back to the Future,1985,$19 million,"$210,609,762",,Highest-grossing,images\1985_Back_to_the_Future.jpg
Rambo: First Blood Part II,1985,$25.5 million [ 5 ],"$150,415,432",,Highest-grossing,images\1985_Rambo:_First_Blood_Part_II.jpg
Rocky IV,1985,$28 million [ 1 ],"$127,873,716",,Highest-grossing,images\1985_Rocky_IV.jpg
The Color Purple,1985,$15 million,"$94,175,854",,Highest-grossing,images\1985_The_Color_Purple.jpg
Out of Africa,1985,$31 million [ 1 ],"$87,071,205",,Highest-grossing,images\1985_Out_of_Africa.jpg
Cocoon,1985,$17.5 million [ 4 ],"$76,113,124",,Highest-grossing,images\1985_Cocoon.jpg
The Jewel of the Nile,1985,$25 million [ 2 ],"$75,973,200",,Highest-grossing,images\1985_The_Jewel_of_the_Nile.jpg
Witness,1985,$12 million,"$68,706,993",,Highest-grossing,images\1985_Witness.jpg
The Goonies,1985,$19 million [ 2 ],"$61,389,680",,Highest-grossing,images\1985_The_Goonies.jpg
Spies Like Us,1985,$22 million [ 2 ],"$60,088,980",,Highest-grossing,images\1985_Spies_Like_Us.jpg
Top Gun,1986,$15 million,"$176,781,728",,Highest-grossing,images\1986_Top_Gun.jpg
Crocodile Dundee,1986,A$ 8.8 million [ 4 ],"$174,803,506",,Highest-grossing,images\1986_Crocodile_Dundee.jpg
Platoon,1986,$6 million [ 2 ] [ 3 ],"$138,530,565",,Highest-grossing,images\1986_Platoon.jpg
The Karate Kid Part II,1986,$12.5 million [ 2 ],"$115,103,979",,Highest-grossing,images\1986_The_Karate_Kid_Part_II.jpg
Star Trek IV: The Voyage Home,1986,$21–25 million [ 2 ] [ 3 ],"$109,713,132",,Highest-grossing,images\1986_Star_Trek_IV:_The_Voyage_Home.jpg
Back to School,1986,$11 million [ 1 ],"$91,258,000",,Highest-grossing,images\1986_Back_to_School.jpg
Aliens,1986,$18.5 million,"$86,160,248",,Highest-grossing,images\1986_Aliens.jpg
The Golden Child,1986,$12-24.5 million [ 1 ] [ 2 ] [ 3 ],"$79,817,937",,Highest-grossing,images\1986_The_Golden_Child.jpg
Ruthless People,1986,$9-13 million [ 1 ] [ 2 ],"$71,624,879",,Highest-grossing,images\1986_Ruthless_People.jpg
Ferris Bueller's Day Off,1986,$5 million [ 1 ],"$70,136,169",,Highest-grossing,images\1986_Ferris_Bueller's_Day_Off.jpg
Three Men and a Baby,1987,$11—15 million [ 1 ] [ 2 ],"$167,780,960",,Highest-grossing,images\1987_Three_Men_and_a_Baby.jpg
Fatal Attraction,1987,$14 million [ 1 ],"$156,645,693",,Highest-grossing,images\1987_Fatal_Attraction.jpg
Beverly Hills Cop II,1987,$27 million [ 2 ] [ 3 ],"$153,665,036",,Highest-grossing,images\1987_Beverly_Hills_Cop_II.jpg
"Good Morning, Vietnam",1987,$13 million [ 2 ],"$123,922,370",,Highest-grossing,"images\1987_Good_Morning,_Vietnam.jpg"
Moonstruck,1987,$15 million [ 1 ],"$80,640,528",,Highest-grossing,images\1987_Moonstruck.jpg
The Untouchables,1987,$25 million [ 1 ],"$76,270,454",,Highest-grossing,images\1987_The_Untouchables.jpg
The Secret of My Success,1987,$12 million [ 1 ],"$66,995,000",,Highest-grossing,images\1987_The_Secret_of_My_Success.jpg
Stakeout,1987,$14.5 million,"$65,673,233",,Highest-grossing,images\1987_Stakeout.jpg
Lethal Weapon,1987,$15 million,"$65,207,127",,Highest-grossing,images\1987_Lethal_Weapon.jpg
The Witches of Eastwick,1987,$22 million [ 2 ],"$63,766,510",,Highest-grossing,images\1987_The_Witches_of_Eastwick.jpg
Rain Man,1988,$25 million [ 2 ],"$354,825,435",,Highest-grossing,images\1988_Rain_Man.jpg
Who Framed Roger Rabbit,1988,$50.6 million [ nb 1 ],"$329,803,958",,Highest-grossing,images\1988_Who_Framed_Roger_Rabbit.jpg
Coming to America,1988,$36 million [ 1 ],"$288,752,301",,Highest-grossing,images\1988_Coming_to_America.jpg
Crocodile Dundee II,1988,$14 million [ 1 ],"$239,606,210",,Highest-grossing,images\1988_Crocodile_Dundee_II.jpg
Twins,1988,$18 million [ 2 ],"$216,614,388",,Highest-grossing,images\1988_Twins.jpg
Rambo III,1988,$58–63 million [ 3 ] [ 4 ],"$189,015,611",,Highest-grossing,images\1988_Rambo_III.jpg
A Fish Called Wanda,1988,$7.5 million [ 3 ],"$188,597,000[2][3][4]",,Highest-grossing,images\1988_A_Fish_Called_Wanda.jpg
Cocktail,1988,$20 million [ 2 ],"$171,504,781",,Highest-grossing,images\1988_Cocktail.jpg
Big,1988,$18 million [ 1 ],"$151,668,774",,Highest-grossing,images\1988_Big.jpg
Die Hard,1988,$25–35 million,"$141,500,000",,Highest-grossing,images\1988_Die_Hard.jpg
Indiana Jones and the Last Crusade,1989,$48 million [ 1 ],"$474,171,806",,Highest-grossing,images\1989_Indiana_Jones_and_the_Last_Crusade.jpg
Batman,1989,$48 million [ 5 ],"$411,569,241",,Highest-grossing,images\1989_Batman.jpg
Back to the Future Part II,1989,$40 million [ 3 ],"$332,950,002",,Highest-grossing,images\1989_Back_to_the_Future_Part_II.jpg
Look Who's Talking,1989,$7.5 million [ 2 ],"$297,999,813",,Highest-grossing,images\1989_Look_Who's_Talking.jpg
Dead Poets Society,1989,$16.4 million [ 2 ],"$235,860,116",,Highest-grossing,images\1989_Dead_Poets_Society.jpg
Lethal Weapon 2,1989,$30 million [ 1 ],"$227,853,986",,Highest-grossing,images\1989_Lethal_Weapon_2.jpg
"Honey, I Shrunk the Kids",1989,$18 million [ citation needed ],"$222,724,172",,Highest-grossing,"images\1989_Honey,_I_Shrunk_the_Kids.jpg"
Ghostbusters II,1989,$30–40 million,"$215,394,738",,Highest-grossing,images\1989_Ghostbusters_II.jpg
The Little Mermaid,1989,$40 million [ 2 ],"$184,155,863[3]",,Highest-grossing,images\1989_The_Little_Mermaid.jpg
Born on the Fourth of July,1989,$17.8 million [ 1 ],"$162,001,698",,Highest-grossing,images\1989_Born_on_the_Fourth_of_July.jpg
Ghost,1990,$22–23 million,"$505,702,588",,Highest-grossing,images\1990_Ghost.jpg
Home Alone,1990,$18 million [ 3 ],"$476,684,675",,Highest-grossing,images\1990_Home_Alone.jpg
Pretty Woman,1990,$14 million,"$463,406,268",,Highest-grossing,images\1990_Pretty_Woman.jpg
Dances with Wolves,1990,$22 million [ 2 ],"$424,208,848",,Highest-grossing,images\1990_Dances_with_Wolves.jpg
Total Recall,1990,$48–80 million,"$261,317,921",,Highest-grossing,images\1990_Total_Recall.jpg
Back to the Future Part III,1990,$40 million [ 3 ],"$244,527,583",,Highest-grossing,images\1990_Back_to_the_Future_Part_III.jpg
Die Hard 2,1990,$60–70 million [ 1 ] [ 2 ] [ 3 ] [ 4 ],"$240,031,094",,Highest-grossing,images\1990_Die_Hard_2.jpg
Presumed Innocent,1990,$20 million [ 1 ] [ 2 ] [ 3 ],"$221,303,188",,Highest-grossing,images\1990_Presumed_Innocent.jpg
Teenage Mutant Ninja Turtles,1990,$13.5 million [ 1 ] [ 3 ],"$202,084,756",,Highest-grossing,images\1990_Teenage_Mutant_Ninja_Turtles.jpg
Kindergarten Cop,1990,$26 million [ 2 ],"$201,957,688",,Highest-grossing,images\1990_Kindergarten_Cop.jpg
Terminator 2: Judgment Day,1991,$94–102 million,"$520,881,154[2]",,Highest-grossing,images\1991_Terminator_2:_Judgment_Day.jpg
Robin Hood: Prince of Thieves,1991,$48–60 million [ 3 ] [ 4 ],"$390,493,908",,Highest-grossing,images\1991_Robin_Hood:_Prince_of_Thieves.jpg
Beauty and the Beast,1991,$25 million [ 4 ],"$346,317,207[3]",,Highest-grossing,images\1991_Beauty_and_the_Beast.jpg
Hook,1991,$70 million [ 2 ],"$300,854,984",,Highest-grossing,images\1991_Hook.jpg
The Silence of the Lambs,1991,$19 million [ 2 ],"$272,742,922",,Highest-grossing,images\1991_The_Silence_of_the_Lambs.jpg
JFK,1991,$40 million,"$205,405,498",,Highest-grossing,images\1991_JFK.jpg
The Naked Gun 2½: The Smell of Fear,1991,$23 million,"$192,230,411[4]",,Highest-grossing,images\1991_The_Naked_Gun_2½:_The_Smell_of_Fear.jpg
The Addams Family,1991,$30 million [ 2 ],"$191,502,426",,Highest-grossing,images\1991_The_Addams_Family.jpg
Cape Fear,1991,$35 million,"$182,291,969",,Highest-grossing,images\1991_Cape_Fear.jpg
Hot Shots!,1991,$26 million [ 1 ],"$181,096,164",,Highest-grossing,images\1991_Hot_Shots!.jpg
Aladdin,1992,$28 million [ 6 ],"$504,050,219",,Highest-grossing,images\1992_Aladdin.jpg
The Bodyguard,1992,$25 million [ 3 ],"$411,006,740",,Highest-grossing,images\1992_The_Bodyguard.jpg
Home Alone 2: Lost in New York,1992,$28 million [ 3 ],"$358,994,850",,Highest-grossing,images\1992_Home_Alone_2:_Lost_in_New_York.jpg
Basic Instinct,1992,$49 million,"$352,927,224",,Highest-grossing,images\1992_Basic_Instinct.jpg
Lethal Weapon 3,1992,$35 million [ 1 ],"$321,731,527",,Highest-grossing,images\1992_Lethal_Weapon_3.jpg
Batman Returns,1992,$50–80 million,"$266,822,354",,Highest-grossing,images\1992_Batman_Returns.jpg
A Few Good Men,1992,$33–40 million [ 1 ] [ 2 ],"$243,240,178",,Highest-grossing,images\1992_A_Few_Good_Men.jpg
Sister Act,1992,$31 million [ 2 ],"$231,605,150",,Highest-grossing,images\1992_Sister_Act.jpg
Bram Stoker's Dracula,1992,$40 million [ 1 ] [ 2 ],"$215,862,692",,Highest-grossing,images\1992_Bram_Stoker's_Dracula.jpg
Wayne's World,1992,$20 million [ 1 ],"$183,097,323",,Highest-grossing,images\1992_Wayne's_World.jpg
Jurassic Park,1993,$63 million [ 2 ] [ 3 ],"$914,691,120[2]",,Highest-grossing,images\1993_Jurassic_Park.jpg
Mrs. Doubtfire,1993,$25 million [ 2 ],"$441,286,195",,Highest-grossing,images\1993_Mrs._Doubtfire.jpg
The Fugitive,1993,$44 million [ 1 ],"$368,875,760",,Highest-grossing,images\1993_The_Fugitive.jpg
Schindler's List,1993,$22 million [ 2 ],"$321,306,305",,Highest-grossing,images\1993_Schindler's_List.jpg
The Firm,1993,$ 42 million,"$270,248,367",,Highest-grossing,images\1993_The_Firm.jpg
Indecent Proposal,1993,$38 million [ 1 ],"$266,614,059",,Highest-grossing,images\1993_Indecent_Proposal.jpg
Cliffhanger,1993,$70 million [ 1 ],"$255,000,211",,Highest-grossing,images\1993_Cliffhanger.jpg
Sleepless in Seattle,1993,$21 million [ 2 ],"$227,799,884",,Highest-grossing,images\1993_Sleepless_in_Seattle.jpg
Philadelphia,1993,$26 million,"$206,678,440",,Highest-grossing,images\1993_Philadelphia.jpg
The Pelican Brief,1993,$45 million [ 1 ],"$195,268,056",,Highest-grossing,images\1993_The_Pelican_Brief.jpg
The Lion King,1994,$45 million [ 2 ],"$763,455,561[3]",,Highest-grossing,images\1994_The_Lion_King.jpg
Forrest Gump,1994,$55 million [ 2 ],"$677,945,399",,Highest-grossing,images\1994_Forrest_Gump.jpg
True Lies,1994,$100 [ 5 ] [ 6 ] –120 [ 7 ] million,"$378,882,411",,Highest-grossing,images\1994_True_Lies.jpg
The Mask,1994,$18 million [ 2 ],"$351,583,407",,Highest-grossing,images\1994_The_Mask.jpg
Speed,1994,$30–37 million [ 1 ] [ 2 ],"$350,448,145",,Highest-grossing,images\1994_Speed.jpg
The Flintstones,1994,$46 million [ 2 ],"$341,631,208",,Highest-grossing,images\1994_The_Flintstones.jpg
Dumb and Dumber,1994,$17 million [ 3 ],"$247,275,374",,Highest-grossing,images\1994_Dumb_and_Dumber.jpg
Four Weddings and a Funeral,1994,£3 million [ 1 ] ($4.4 million [ 2 ] ),"$245,700,832",,Highest-grossing,images\1994_Four_Weddings_and_a_Funeral.jpg
Interview with the Vampire,1994,$60 million [ 2 ],"$223,664,608",,Highest-grossing,images\1994_Interview_with_the_Vampire.jpg
Clear and Present Danger,1994,$62 million [ 2 ],"$215,887,717",,Highest-grossing,images\1994_Clear_and_Present_Danger.jpg
Die Hard with a Vengeance,1995,$90 million [ 5 ],"$366,101,666",,Highest-grossing,images\1995_Die_Hard_with_a_Vengeance.jpg
Toy Story,1995,$30 million [ 2 ],"$363,007,140[nb 1]",,Highest-grossing,images\1995_Toy_Story.jpg
Apollo 13,1995,$52 million [ 1 ],"$355,237,933",,Highest-grossing,images\1995_Apollo_13.jpg
GoldenEye,1995,$60 million [ 3 ],"$352,194,034",,Highest-grossing,images\1995_GoldenEye.jpg
Pocahontas,1995,$55 million [ 3 ],"$346,079,773",,Highest-grossing,images\1995_Pocahontas.jpg
Batman Forever,1995,$100 million [ 4 ],"$336,529,144",,Highest-grossing,images\1995_Batman_Forever.jpg
Seven,1995,$33–34 million,"$327,311,859",,Highest-grossing,images\1995_Seven.jpg
Casper,1995,$55 million [ 2 ],"$287,928,194",,Highest-grossing,images\1995_Casper.jpg
Waterworld,1995,$172–175 million [ 2 ] [ 3 ],"$264,218,220",,Highest-grossing,images\1995_Waterworld.jpg
Jumanji,1995,$65 million [ 1 ],"$262,797,249",,Highest-grossing,images\1995_Jumanji.jpg
Independence Day,1996,$75 million [ 2 ],"$817,400,891",,Highest-grossing,images\1996_Independence_Day.jpg
Twister,1996,$88–92 million [ 2 ] [ 3 ],"$495,700,000",,Highest-grossing,images\1996_Twister.jpg
Mission: Impossible,1996,$80 million [ 4 ],"$457,696,359",,Highest-grossing,images\1996_Mission:_Impossible.jpg
The Rock,1996,$75 million [ 2 ],"$335,062,621",,Highest-grossing,images\1996_The_Rock.jpg
The Hunchback of Notre Dame,1996,$70 million [ 2 ],"$325,338,851",,Highest-grossing,images\1996_The_Hunchback_of_Notre_Dame.jpg
101 Dalmatians,1996,$67 million [ 4 ],"$320,689,294",,Highest-grossing,images\1996_101_Dalmatians.jpg
Ransom,1996,$70 million [ 3 ],"$309,492,681",,Highest-grossing,images\1996_Ransom.jpg
The Nutty Professor,1996,$54 million [ 2 ],"$273,961,019",,Highest-grossing,images\1996_The_Nutty_Professor.jpg
Jerry Maguire,1996,$50 million [ 1 ],"$273,552,592",,Highest-grossing,images\1996_Jerry_Maguire.jpg
Space Jam,1996,$80 million [ 4 ],"$250,180,384",,Highest-grossing,images\1996_Space_Jam.jpg
Titanic,1997,$200 million [ 4 ] [ 5 ] [ 6 ],"$1,843,201,268[nb 1][2]",,Highest-grossing,images\1997_Titanic.jpg
The Lost World: Jurassic Park,1997,$73–75 million [ 3 ] [ 4 ],"$618,638,999",,Highest-grossing,images\1997_The_Lost_World:_Jurassic_Park.jpg
Men in Black,1997,$90 million [ 1 ],"$589,390,539",,Highest-grossing,images\1997_Men_in_Black.jpg
Tomorrow Never Dies,1997,$110 million [ 2 ],"$333,011,068",,Highest-grossing,images\1997_Tomorrow_Never_Dies.jpg
Air Force One,1997,$85 million [ 2 ],"$315,156,409",,Highest-grossing,images\1997_Air_Force_One.jpg
As Good as It Gets,1997,$50 million [ 1 ],"$314,178,011",,Highest-grossing,images\1997_As_Good_as_It_Gets.jpg
Liar Liar,1997,$45 million [ 2 ],"$302,710,615",,Highest-grossing,images\1997_Liar_Liar.jpg
My Best Friend's Wedding,1997,$38 million,"$299,288,605",,Highest-grossing,images\1997_My_Best_Friend's_Wedding.jpg
The Fifth Element,1997,$90 million [ 3 ] [ 4 ] [ 5 ] [ 6 ] [ a ],"$263,920,180",,Highest-grossing,images\1997_The_Fifth_Element.jpg
The Full Monty,1997,$3.5 million [ 2 ],"$257,938,649",,Highest-grossing,images\1997_The_Full_Monty.jpg
Armageddon,1998,$140 million [ 2 ] [ 3 ],"$553,709,788",,Highest-grossing,images\1998_Armageddon.jpg
Saving Private Ryan,1998,$65–70 million,"$485,000,000",,Highest-grossing,images\1998_Saving_Private_Ryan.jpg
Godzilla,1998,$125–150 million [ 6 ] [ 7 ],"$379,014,294",,Highest-grossing,images\1998_Godzilla.jpg
There's Something About Mary,1998,$23 million [ 3 ],"$369,884,651",,Highest-grossing,images\1998_There's_Something_About_Mary.jpg
A Bug's Life,1998,$40–120 million [ 4 ] [ 2 ],"$363,398,565",,Highest-grossing,images\1998_A_Bug's_Life.jpg
Deep Impact,1998,$80 million [ 1 ],"$349,464,664",,Highest-grossing,images\1998_Deep_Impact.jpg
Mulan,1998,$90 million [ 1 ],"$304,320,254",,Highest-grossing,images\1998_Mulan.jpg
Dr. Dolittle,1998,$71.5 million,"$294,456,605",,Highest-grossing,images\1998_Dr._Dolittle.jpg
Shakespeare in Love,1998,$25 million [ 4 ],"$289,317,794",,Highest-grossing,images\1998_Shakespeare_in_Love.jpg
Lethal Weapon 4,1998,$100–150 million [ 1 ],"$285,444,603",,Highest-grossing,images\1998_Lethal_Weapon_4.jpg
Star Wars: Episode I – The Phantom Menace,1999,$115 million [ 2 ],"$924,305,084",,Highest-grossing,images\1999_Star_Wars:_Episode_I_–_The_Phantom_Menace.jpg
The Sixth Sense,1999,$40 million [ 1 ],"$672,806,292",,Highest-grossing,images\1999_The_Sixth_Sense.jpg
Toy Story 2,1999,$90 million [ 3 ],"$511,358,276",,Highest-grossing,images\1999_Toy_Story_2.jpg
The Matrix,1999,$63 million [ 5 ],"$465,974,198",,Highest-grossing,images\1999_The_Matrix.jpg
Tarzan,1999,$130 million [ 1 ],"$448,191,819",,Highest-grossing,images\1999_Tarzan.jpg
The Mummy,1999,$80 million [ 3 ],"$418,138,535",,Highest-grossing,images\1999_The_Mummy.jpg
Notting Hill,1999,$42 million,"$363,889,678",,Highest-grossing,images\1999_Notting_Hill.jpg
The World Is Not Enough,1999,$135 million [ 2 ],"$361,832,400",,Highest-grossing,images\1999_The_World_Is_Not_Enough.jpg
American Beauty,1999,$15 million [ 2 ],"$356,296,601",,Highest-grossing,images\1999_American_Beauty.jpg
Austin Powers: The Spy Who Shagged Me,1999,$33 million [ 1 ],"$312,383,487",,Highest-grossing,images\1999_Austin_Powers:_The_Spy_Who_Shagged_Me.jpg
Harry Potter and the Philosopher's Stone,2001,$125 million [ 5 ],"$974,755,371",,Highest-grossing,images\2001_Harry_Potter_and_the_Philosopher's_Stone.jpg
The Lord of the Rings: The Fellowship of the Ring,2001,$93 million [ 3 ] [ 4 ],"$883,726,270",,Highest-grossing,images\2001_The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring.jpg
"Monsters, Inc.",2001,$115 million [ 1 ],"$528,773,250",,Highest-grossing,"images\2001_Monsters,_Inc..jpg"
Shrek,2001,$60 million [ 5 ],"$487,853,320",,Highest-grossing,images\2001_Shrek.jpg
Ocean's Eleven,2001,$85 million [ 1 ],"$450,717,150",,Highest-grossing,images\2001_Ocean's_Eleven.jpg
Pearl Harbor,2001,$140 million [ 2 ] [ 3 ],"$449,220,945",,Highest-grossing,images\2001_Pearl_Harbor.jpg
The Mummy Returns,2001,$98 million [ 1 ],"$435,040,395",,Highest-grossing,images\2001_The_Mummy_Returns.jpg
Jurassic Park III,2001,$93 million [ 3 ] [ 4 ],"$368,780,809",,Highest-grossing,images\2001_Jurassic_Park_III.jpg
Planet of the Apes,2001,$100 million [ 3 ],"$362,211,740",,Highest-grossing,images\2001_Planet_of_the_Apes.jpg
Hannibal,2001,$87 million [ 4 ],"$351,692,268",,Highest-grossing,images\2001_Hannibal.jpg
The Lord of the Rings: The Two Towers,2002,$94 million [ 3 ] [ 4 ],"$936,689,735",,Highest-grossing,images\2002_The_Lord_of_the_Rings:_The_Two_Towers.jpg
Harry Potter and the Chamber of Secrets,2002,$100 million [ 2 ],"$878,979,634",,Highest-grossing,images\2002_Harry_Potter_and_the_Chamber_of_Secrets.jpg
Spider-Man,2002,$139 million [ 4 ],"$821,708,551",,Highest-grossing,images\2002_Spider-Man.jpg
Star Wars: Episode II – Attack of the Clones,2002,$115 million [ 2 ],"$653,741,940",,Highest-grossing,images\2002_Star_Wars:_Episode_II_–_Attack_of_the_Clones.jpg
Men in Black II,2002,$140 million [ 1 ],"$441,818,803",,Highest-grossing,images\2002_Men_in_Black_II.jpg
Die Another Day,2002,$142 million [ 2 ] [ 3 ],"$431,971,116",,Highest-grossing,images\2002_Die_Another_Day.jpg
Signs,2002,$72 million [ 4 ],"$408,247,917",,Highest-grossing,images\2002_Signs.jpg
Ice Age,2002,$59 million [ 1 ],"$383,257,136",,Highest-grossing,images\2002_Ice_Age.jpg
My Big Fat Greek Wedding,2002,$5 million [ 1 ],"$368,744,044",,Highest-grossing,images\2002_My_Big_Fat_Greek_Wedding.jpg
Minority Report,2002,$102 million [ 5 ],"$358,372,926",,Highest-grossing,images\2002_Minority_Report.jpg
The Lord of the Rings: The Return of the King,2003,$94 million [ 4 ] [ 5 ],"$1,118,887,224",,Highest-grossing,images\2003_The_Lord_of_the_Rings:_The_Return_of_the_King.jpg
Finding Nemo,2003,$94 million [ 1 ],"$871,014,978[2]",,Highest-grossing,images\2003_Finding_Nemo.jpg
The Matrix Reloaded,2003,$127 [ 4 ] –150 [ 5 ] million,"$739,412,035",,Highest-grossing,images\2003_The_Matrix_Reloaded.jpg
Pirates of the Caribbean: The Curse of the Black Pearl,2003,$140 million [ 2 ],"$654,264,015",,Highest-grossing,images\2003_Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl.jpg
Bruce Almighty,2003,$81 million [ 3 ],"$484,592,874",,Highest-grossing,images\2003_Bruce_Almighty.jpg
The Last Samurai,2003,$140 million [ 5 ],"$454,627,263",,Highest-grossing,images\2003_The_Last_Samurai.jpg
Terminator 3: Rise of the Machines,2003,$187.3 million ($167.3 million excluding production overhead),"$433,371,112",,Highest-grossing,images\2003_Terminator_3:_Rise_of_the_Machines.jpg
The Matrix Revolutions,2003,$110–150 million [ 4 ] [ 5 ],"$427,343,298",,Highest-grossing,images\2003_The_Matrix_Revolutions.jpg
X2,2003,$110–125 million [ 2 ] [ 3 ] [ 4 ],"$407,711,549",,Highest-grossing,images\2003_X2.jpg
Bad Boys II,2003,$130 million [ 2 ],"$273,339,556",,Highest-grossing,images\2003_Bad_Boys_II.jpg
Shrek 2,2004,$150 million [ 2 ],"$935,454,538",,Highest-grossing,images\2004_Shrek_2.jpg
Harry Potter and the Prisoner of Azkaban,2004,$130 million [ 4 ],"$798,076,924",,Highest-grossing,images\2004_Harry_Potter_and_the_Prisoner_of_Azkaban.jpg
Spider-Man 2,2004,$200 million [ 4 ],"$783,766,341",,Highest-grossing,images\2004_Spider-Man_2.jpg
The Incredibles,2004,$92–145 million [ 3 ] [ 4 ],"$631,442,092",,Highest-grossing,images\2004_The_Incredibles.jpg
The Passion of the Christ,2004,$30 million [ 2 ],"$611,486,736",,Highest-grossing,images\2004_The_Passion_of_the_Christ.jpg
The Day After Tomorrow,2004,$125 million [ 1 ],"$552,639,571",,Highest-grossing,images\2004_The_Day_After_Tomorrow.jpg
Meet the Fockers,2004,$80 million,"$522,657,936",,Highest-grossing,images\2004_Meet_the_Fockers.jpg
Troy,2004,$175–185 million [ 1 ] [ 2 ],"$497,409,852",,Highest-grossing,images\2004_Troy.jpg
Shark Tale,2004,$75 million [ 3 ],"$374,583,879",,Highest-grossing,images\2004_Shark_Tale.jpg
Ocean's Twelve,2004,$110 million [ 1 ],"$362,744,280",,Highest-grossing,images\2004_Ocean's_Twelve.jpg
Harry Potter and the Goblet of Fire,2005,$150 million [ 5 ],"$895,921,036",,Highest-grossing,images\2005_Harry_Potter_and_the_Goblet_of_Fire.jpg
Star Wars: Episode III – Revenge of the Sith,2005,$113 million [ 2 ],"$849,997,605",,Highest-grossing,images\2005_Star_Wars:_Episode_III_–_Revenge_of_the_Sith.jpg
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,$180 million [ 3 ],"$745,013,115",,Highest-grossing,"images\2005_The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe.jpg"
War of the Worlds,2005,$132 million [ 2 ],"$603,873,119",,Highest-grossing,images\2005_War_of_the_Worlds.jpg
King Kong,2005,$207 million [ 2 ],"$556,906,378",,Highest-grossing,images\2005_King_Kong.jpg
Madagascar,2005,$75 million [ 2 ],"$542,063,846",,Highest-grossing,images\2005_Madagascar.jpg
Mr. & Mrs. Smith,2005,$110 million [ 1 ],"$487,287,646",,Highest-grossing,images\2005_Mr._&_Mrs._Smith.jpg
Charlie and the Chocolate Factory,2005,$150 million [ 4 ],"$474,968,763",,Highest-grossing,images\2005_Charlie_and_the_Chocolate_Factory.jpg
Batman Begins,2005,$150 million [ 3 ],"$373,443,774",,Highest-grossing,images\2005_Batman_Begins.jpg
Hitch,2005,$55-70 million [ 1 ] [ 2 ],"$371,594,210",,Highest-grossing,images\2005_Hitch.jpg
Pirates of the Caribbean: Dead Man's Chest,2006,$225 million [ 2 ],"$1,066,179,725",,Highest-grossing,images\2006_Pirates_of_the_Caribbean:_Dead_Man's_Chest.jpg
The Da Vinci Code,2006,$125 million [ 2 ],"$760,006,945",,Highest-grossing,images\2006_The_Da_Vinci_Code.jpg
Ice Age: The Meltdown,2006,$80 million,"$660,998,756",,Highest-grossing,images\2006_Ice_Age:_The_Meltdown.jpg
Casino Royale,2006,$102–150 million [ 3 ] [ 4 ],"$606,099,584",,Highest-grossing,images\2006_Casino_Royale.jpg
Night at the Museum,2006,$110 million [ 3 ],"$574,480,841",,Highest-grossing,images\2006_Night_at_the_Museum.jpg
Cars,2006,$120 million [ 1 ],"$461,983,149",,Highest-grossing,images\2006_Cars.jpg
X-Men: The Last Stand,2006,$210 million [ 4 ] [ 5 ],"$460,435,291",,Highest-grossing,images\2006_X-Men:_The_Last_Stand.jpg
Mission: Impossible III,2006,$150–186 million [ 3 ] [ 4 ],"$398,479,497",,Highest-grossing,images\2006_Mission:_Impossible_III.jpg
Superman Returns,2006,$223 million (gross) $204 million (net),"$391,081,192",,Highest-grossing,images\2006_Superman_Returns.jpg
Happy Feet,2006,$100 million [ 3 ],"$384,335,608",,Highest-grossing,images\2006_Happy_Feet.jpg
Pirates of the Caribbean: At World's End,2007,$300 million [ 2 ],"$963,400,492",,Highest-grossing,images\2007_Pirates_of_the_Caribbean:_At_World's_End.jpg
Harry Potter and the Order of the Phoenix,2007,$150–200 million [ 4 ] [ 5 ],"$941,676,843",,Highest-grossing,images\2007_Harry_Potter_and_the_Order_of_the_Phoenix.jpg
